random_id,motivacion,conectado,sexojefe,edadjefe,jefesabeleer,jefesabeescribir,pdiasfueaescuela
339,0 Hogar no motivado,0 Hogar no conectado,2 = Female,35,0 = No,0 = No,71.428574
341,0 Hogar no motivado,0 Hogar no conectado,2 = Female,66,0 = No,0 = No,
343,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,71,1 = Yes,1 = Yes,
344,0 Hogar no motivado,0 Hogar no conectado,2 = Female,71,0 = No,0 = No,
346,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,51,1 = Yes,1 = Yes,
348,0 Hogar no motivado,0 Hogar no conectado,1 = Male,44,1 = Yes,1 = Yes,42.857143
349,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,39,1 = Yes,1 = Yes,85.714287
350,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,81,0 = No,0 = No,
351,1 Hogar en grupo motivacion,0 Hogar no conectado,2 = Female,32,0 = No,0 = No,
352,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,75,1 = Yes,1 = Yes,
353,0 Hogar no motivado,1 Hogar conectado,1 = Male,38,0 = No,0 = No,
356,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,32,1 = Yes,1 = Yes,
357,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,34,1 = Yes,1 = Yes,
358,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,42,0 = No,0 = No,
359,1 Hogar en grupo motivacion,1 Hogar conectado,2 = Female,61,0 = No,0 = No,
360,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,53,1 = Yes,1 = Yes,
361,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,38,1 = Yes,1 = Yes,
362,0 Hogar no motivado,0 Hogar no conectado,2 = Female,60,0 = No,0 = No,
363,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,39,0 = No,0 = No,0
365,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,40,1 = Yes,1 = Yes,71.428574
366,1 Hogar en grupo motivacion,1 Hogar conectado,1 = Male,45,1 = Yes,1 = Yes,
367,0 Hogar no motivado,0 Hogar no conectado,1 = Male,46,1 = Yes,1 = Yes,71.428574
368,0 Hogar no motivado,0 Hogar no conectado,1 = Male,45,0 = No,0 = No,
370,0 Hogar no motivado,0 Hogar no conectado,1 = Male,50,0 = No,0 = No,57.14286
371,1 Hogar en grupo motivacion,0 Hogar no conectado,1 = Male,35,1 = Yes,1 = Yes,
